ID,area,pop,dens_pop,lon,lat,r_cbd,d_av,Oi,Dj,dens_Oi,dens_Dj
181,0.931078125,6865,7373.172901,-43.307931,-22.820611,7713.301765,7.307216295,476,647,511.2352951,694.8933528
182,0.280025175,2463,8795.637749,-43.297772,-22.81722,7712.481121,6.431982248,482,880,1721.27381,3142.574592
183,1.086518721,14568,13407.96041,-43.295445,-22.811489,7711.806346,1.800098206,353,91,324.8908585,83.75373405
184,0.948965118,23607,24876.57295,-43.292055,-22.82105,7712.583198,0.889700292,768,197,809.3026657,207.594564
185,1.376966106,20106,14601.6666,-43.30442,-22.825919,7713.654835,5.685242709,762,91,553.3905275,66.08732022
186,3.417305815,41539,12155.4822,-43.310214,-22.809126,7712.282904,6.97163419,1929,1167,564.4797699,341.4970925
187,1.948170711,25218,12944.45084,-43.323479,-22.810054,7713.010848,7.701890748,1198,808,614.9358439,414.7480483
188,0.857748253,7586,8844.086798,-43.263367,-22.88278,7717.274757,6.49598335,438,548,510.6393379,638.882094
189,1.151794335,15729,13656.08384,-43.262118,-22.873652,7716.317723,4.092277863,276,181,239.6261136,157.1461107
190,0.727946533,6237,8567.936951,-43.271385,-22.877504,7717.140288,5.122129462,699,1440,960.2353582,1978.167261
191,0.270976476,2553,9421.482047,-43.275103,-22.881396,7717.70095,9.581069057,99,107,365.3453673,394.8682252
192,0.384526891,6820,17736.08079,-43.270315,-22.882081,7717.538883,6.307452551,281,54,730.768138,140.4323112
193,1.069600913,12935,12093.29559,-43.284821,-22.877496,7717.783334,5.545963858,1045,2048,976.9999143,1914.732846
194,0.916386403,19305,21066.44091,-43.273808,-22.870827,7716.600138,3.112727681,702,113,766.0523966,123.3104285
195,0.976076728,14471,14825.67874,-43.282142,-22.866426,7716.567004,5.972514697,646,468,661.8332159,479.4705032
196,0.686116405,5437,7924.311326,-43.286659,-22.87059,7717.192731,6.721292335,400,661,582.9914531,963.3933762
197,1.889899988,17629,9328.006833,-43.294222,-22.861673,7716.679002,8.764675008,762,270,403.1959389,142.8647028
199,1.37191109,17629,12849.95808,-43.306747,-22.868588,7717.959094,7.099048889,785,429,572.1945145,312.7024799
2,0.610568697,9865,16157.06807,-43.2028,-22.904058,7716.467978,11.77216812,578,660,946.6584229,1080.959445
20,3.297578068,28011,8494.41603,-43.628406,-22.927653,7739.233227,28.17060439,600,57,181.9517196,17.28541336
201,0.665866727,8307,12475.46943,-43.243439,-22.904154,7718.421641,9.503350959,249,47,373.9487045,70.58469523
203,0.449862905,4614,10256.45802,-43.249616,-22.90439,7718.740515,6.888009668,543,1401,1207.034397,3114.282118
204,0.592642959,7092,11966.73291,-43.254983,-22.905882,7719.144115,6.53980615,338,415,570.3265263,700.2529835
206,0.678157569,5680,8375.634606,-43.255524,-22.892114,7717.816629,5.779881493,468,748,690.1051049,1102.988501
207,0.468851837,8710,18577.29739,-43.260239,-22.897994,7718.620396,5.002742374,350,97,746.5044876,206.8883866
208,0.496397357,4494,9053.231114,-43.260518,-22.905661,7719.387397,5.328904361,138,39,278.0030916,78.56609111
210,0.308141762,4346,14103.89807,-43.19847,-22.911741,7717.016454,8.175122878,172,104,558.1846454,337.5069949
211,0.628549544,1040,1654.603062,-43.203195,-22.90921,7716.993482,11.23320886,340,1269,540.9279241,2018.933928
212,0.914078037,16834,18416.37073,-43.204113,-22.916474,7717.751676,11.5632358,788,881,862.0708172,963.8126776
213,0.632389009,12482,19737.85095,-43.197075,-22.919828,7717.745028,5.957077268,577,518,912.4130749,819.1160707
214,2.111870236,33201,15721.13638,-43.268678,-22.91125,7720.327504,7.286457915,1394,696,660.0784348,329.5657035
215,0.523445316,7630,14576.49877,-43.267696,-22.9002,7719.194344,5.426309626,480,768,917.0012334,1467.201973
216,2.827493129,37327,13201.44676,-43.284913,-22.914212,7721.396207,8.521831325,1488,831,526.2612259,293.8999185
217,0.862713183,17874,20718.35733,-43.276173,-22.898489,7719.432202,7.673071421,951,1138,1102.336232,1319.094251
218,0.311013182,6514,20944.44987,-43.281276,-22.90142,7719.964735,7.159265634,289,271,929.2210644,871.345704
22,55.5617207,21855,393.3463493,-43.735413,-22.904012,7742.087912,16.4602627,1055,1397,18.98789286,25.14320979
220,0.459211506,10098,21989.86714,-43.287243,-22.902875,7720.393612,8.081652655,458,685,997.3617695,1491.687363
221,0.563787265,16665,29559.02171,-43.288068,-22.90731,7720.869011,7.280605199,751,636,1332.062724,1128.085077
222,0.276477033,7158,25890.03475,-43.287375,-22.898755,7719.995024,7.355405276,253,49,915.0850505,177.229911
223,0.673131503,14091,20933.50251,-43.284284,-22.892734,7719.255175,6.422044628,683,532,1014.660579,790.3359121
224,0.948795066,18083,19058.91024,-43.269652,-22.889306,7718.217255,4.135662169,625,49,658.7302382,51.64445067
225,0.529821064,13439,25365.16742,-43.272604,-22.893876,7718.807839,5.698968777,750,809,1415.572257,1526.930608
226,0.666830276,8856,13280.74072,-43.280332,-22.887791,7718.580011,6.74648316,455,796,682.3325461,1193.707048
227,1.355093019,11724,8651.804589,-43.2909,-22.890086,7719.311974,6.774243096,472,94,348.315572,69.36793171
228,1.093769965,16033,14658.47529,-43.296365,-22.900173,7720.565179,7.119660257,914,1135,835.6418894,1037.695344
23,9.899981381,23623,2386.166104,-43.670541,-22.902911,7738.842353,11.85884752,1110,669,112.121423,67.57588467
230,2.443119052,7594,3108.321714,-43.31145,-22.911061,7722.358153,7.255849632,373,281,152.6736897,115.0169083
231,0.70051601,9508,13572.85183,-43.304786,-22.899393,7720.892139,6.628571408,611,791,872.2141844,1129.167627
232,0.31143293,5033,16160.78301,-43.30207,-22.891989,7720.034366,1.355557078,1,7,3.210964238,22.47674967
233,0.680000112,11229,16513.23256,-43.299173,-22.885737,7719.281115,8.371951502,443,78,651.4704806,114.7058634
234,1.563133269,23302,14907.23822,-43.307148,-22.883392,7719.433013,6.818924279,1184,1123,757.4530103,718.4288265
235,2.457343157,21104,8588.137126,-43.315523,-22.900192,7721.48538,17.14747987,824,73,335.3215026,29.70688069
236,1.761794463,28069,15932.05144,-43.295633,-22.878969,7718.446326,5.977046579,1383,1157,784.9950884,656.7167876
237,0.606226807,6586,10863.92078,-43.221977,-22.901745,7717.157789,8.069100955,472,1020,778.5864876,1682.538596
238,0.468030229,3200,6837.165211,-43.223361,-22.897224,7716.779499,6.143979094,393,1124,839.6893525,2401.55428
239,0.863603499,13405,15522.16962,-43.225949,-22.890446,7716.236933,8.322449159,539,127,624.1290133,147.0582276
24,0.429429932,6705,15613.72298,-43.656606,-22.915745,7739.427301,2.450152148,213,97,496.0064124,225.8808545
