GeoID,Longitude,Latitude
214,-43.349839,-22.945366
215,-43.118487,-22.870139
216,-43.291819,-22.733479
217,-43.069606,-22.9102
218,-43.303629,-22.854
219,-43.306195,-22.930009
220,-43.34863,-22.990218
221,-43.237304,-22.933784
222,-43.292055,-22.82105
223,-43.543447,-22.694191
224,-43.383194,-22.961717
225,-43.458029,-22.724523
226,-43.656606,-22.915745
227,-43.597115,-22.884737
228,-43.31145,-22.911061
229,-43.544649,-22.929787
230,-43.319411,-22.878619
231,-43.381001,-22.742907
232,-43.244519,-22.864124
233,-43.358141,-22.853079
234,-43.213286,-22.910923
235,-43.326846,-22.89791
236,-43.107873,-22.625711
237,-43.602249,-22.712115
238,-43.182536,-22.964788
239,-43.16597,-22.90981
240,-43.379216,-22.817264
241,-43.047671,-22.822682
242,-42.980518,-22.738956
243,-42.827648,-22.881839
244,-42.958536,-22.929986
245,-43.691337,-22.928724
246,-43.339705,-22.870592
247,-43.268678,-22.91125
248,-43.182127,-22.933803
249,-43.324176,-22.83273
250,-43.319844,-22.838846
251,-43.202072,-22.812977
252,-43.333297,-22.951159
253,-43.320513,-22.830778
254,-43.2909,-22.890086
255,-43.328463,-22.858406
256,-43.356823,-22.902965
257,-43.287243,-22.902875
258,-43.358458,-22.934843
259,-43.23067,-22.983896
260,-43.301224,-22.767979
261,-43.740137,-22.779872
262,-43.701156,-22.633894
263,-43.349908,-22.972265
264,-43.679185,-22.916509
265,-43.185501,-22.969337
266,-43.212501,-22.929676
267,-43.299334,-22.675821
268,-43.681621,-22.771414
269,-43.240742,-22.891445
270,-43.207923,-22.941639
271,-43.200145,-22.982896
272,-43.463461,-23.024789
273,-43.442727,-23.001644
274,-43.280332,-22.887791
275,-43.335724,-22.807567
276,-43.246418,-22.626717
277,-43.473763,-22.870923
278,-43.735413,-22.904012
279,-43.392726,-22.821717
280,-43.192488,-22.938798
281,-43.230725,-22.802277
282,-43.363233,-22.947889
283,-43.323479,-22.810054
284,-43.307148,-22.883392
285,-43.472736,-22.891447
286,-43.524978,-22.867798
287,-43.219473,-22.985002
288,-43.410267,-22.826539
289,-43.667209,-22.733338
290,-43.175768,-22.90325
291,-43.383267,-22.878501
292,-43.308068,-22.755752
293,-43.118504,-22.887616
294,-43.400436,-22.812957
